ID,Picture,Title,Venue,Time,Price,Link
1,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01BUQbyA2GdSLUyTob6_!!2251059038.png_q60.jpg_.webp,【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.12.13-12.31,199-399             元,//detail.damai.cn/item.htm?id=654677574083&clicktitle=%E7%8E%AF%E5%A2%83%E5%BC%8F%E9%A9%BB%E6%BC%94%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E5%8D%B1%E9%99%A9%E6%B8%B8%E6%88%8F%E3%80%8B
2,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01SGZQiU2GdSJvP2kqz_!!2251059038.png_q60.jpg_.webp,【上海】 沉浸式悬疑音乐剧《FLAMES火焰》,上海 | 星空间4号·缪时客小剧场,2021.12.13-12.31,200-380             元,//detail.damai.cn/item.htm?id=645035282021&clicktitle=%E6%B2%89%E6%B5%B8%E5%BC%8F%E6%82%AC%E7%96%91%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8AFLAMES%E7%81%AB%E7%84%B0%E3%80%8B
3,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01F0BGJJ2GdSJb7ggkE_!!2251059038.png_q60.jpg_.webp,【上海】 环境式驻演音乐剧《桑塔露琪亚》,上海 | 星空间6号·一台好戏小剧场,2021.12.13-2022.01.23,299-399             元,//detail.damai.cn/item.htm?id=642560874874&clicktitle=%E7%8E%AF%E5%A2%83%E5%BC%8F%E9%A9%BB%E6%BC%94%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%A1%91%E5%A1%94%E9%9C%B2%E7%90%AA%E4%BA%9A%E3%80%8B
4,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN011zJNOS2GdSMNWWJa3_!!2251059038.png_q60.jpg_.webp,【上海】 韩国漫画改编 音乐剧《One More》中文版,上海 | 人民大舞台,2021.12.14-12.19,80-480             元,//detail.damai.cn/item.htm?id=653041498249&clicktitle=%E9%9F%A9%E5%9B%BD%E6%BC%AB%E7%94%BB%E6%94%B9%E7%BC%96%20%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8AOne%20More%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
5,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01ztExaA2GdSLgh7NSL_!!2251059038.png_q60.jpg_.webp,【上海】 驻演爆笑喜剧《福尔摩斯探案：巴斯克维尔的猎犬》,上海 | 星空间221号·鲸剧场,2021.12.14-12.31,280-380             元,//detail.damai.cn/item.htm?id=655330164810&clicktitle=%E9%A9%BB%E6%BC%94%E7%88%86%E7%AC%91%E5%96%9C%E5%89%A7%E3%80%8A%E7%A6%8F%E5%B0%94%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%EF%BC%9A%E5%B7%B4%E6%96%AF%E5%85%8B%E7%BB%B4%E5%B0%94%E7%9A%84%E7%8C%8E%E7%8A%AC%E3%80%8B
6,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN0173ePwM2GdSJZgDdN9_!!2251059038.png_q60.jpg_.webp,【上海】 驻演话剧《你好，我找Smith》,上海 | 星空间7号·一台好戏小剧场,2021.12.14-12.31,233             元,//detail.damai.cn/item.htm?id=643569539394&clicktitle=%E9%A9%BB%E6%BC%94%E8%AF%9D%E5%89%A7%E3%80%8A%E4%BD%A0%E5%A5%BD%EF%BC%8C%E6%88%91%E6%89%BESmith%E3%80%8B
7,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01URk4NV2GdSKV9adNB_!!2251059038.png_q60.jpg_.webp,【上海】 环境式驻演音乐剧《灯塔》,上海 | 星空间9号·鲸剧场,2021.12.14-2022.01.22,200-380             元,//detail.damai.cn/item.htm?id=642724049024&clicktitle=%E7%8E%AF%E5%A2%83%E5%BC%8F%E9%A9%BB%E6%BC%94%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E7%81%AF%E5%A1%94%E3%80%8B
8,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01gfFSlY2GdSLyvOXV4_!!2251059038.png_q60.jpg_.webp,【上海】 【缪时客】音乐剧《隐秘的角落》 「紫金陈社会派推理三部曲」,上海 | 上海共舞台,2021.12.14-2022.01.27,100-680             元,//detail.damai.cn/item.htm?id=641912396564&clicktitle=%E3%80%90%E7%BC%AA%E6%97%B6%E5%AE%A2%E3%80%91%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E9%9A%90%E7%A7%98%E7%9A%84%E8%A7%92%E8%90%BD%E3%80%8B%20%E3%80%8C%E7%B4%AB%E9%87%91%E9%99%88%E7%A4%BE%E4%BC%9A%E6%B4%BE%E6%8E%A8%E7%90%86%E4%B8%89%E9%83%A8%E6%9B%B2%E3%80%8D
9,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01o0VdFP2GdSLoEpAHl_!!2251059038.png_q60.jpg_.webp,【上海】 中文原创音乐剧《人间失格》（121021）,上海 | 上海大剧院-大剧场,2021.12.15-12.19,180-1080             元,//detail.damai.cn/item.htm?id=655845361135&clicktitle=%E4%B8%AD%E6%96%87%E5%8E%9F%E5%88%9B%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E4%BA%BA%E9%97%B4%E5%A4%B1%E6%A0%BC%E3%80%8B%EF%BC%88121021%EF%BC%89
10,//img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01VI7R982GdSMiDFcYF_!!0-item_pic.jpg_q60.jpg_.webp,【上海】 音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.12.15-12.19,80-1080             元,//detail.damai.cn/item.htm?id=654104924238&clicktitle=%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E7%BD%97%E5%AF%86%E6%AC%A7%E4%B8%8E%E6%9C%B1%E4%B8%BD%E5%8F%B6%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
11,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01wmhplw2GdSLpcWQHp_!!2251059038.jpg_q60.jpg_.webp,【上海】 音乐剧《悟空》,上海 | 上剧场,2021.12.17-12.19,180-580             元,//detail.damai.cn/item.htm?id=656820742105&clicktitle=%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%82%9F%E7%A9%BA%E3%80%8B
12,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01vIBytQ2GdSLzWS3wh_!!2251059038.jpg_q60.jpg_.webp,【上海】 百老汇音乐剧《摇滚年代》中文版,上海 | FANCL艺术中心 艺海剧院大剧场,2021.12.22-12.26,180-680             元,//detail.damai.cn/item.htm?id=657420801692&clicktitle=%E7%99%BE%E8%80%81%E6%B1%87%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%91%87%E6%BB%9A%E5%B9%B4%E4%BB%A3%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
